	restaurantName	address	city	postalCode	country	region	priceRange	cuisineType	facilitiesServices	creditCards	phoneNumber	website	latitude	logitude	description_filtered
464	Antica Trattoria La Toppa	via del Giglio 43	San Donato in Poggio	50028	ITA	Tuscany	€	Tuscan	Terrace	Amex, Mastercard, Visa	+39 055 807 2900	httpss://anticatrattorialatoppa.business.site	43.5354466	11.2344884	two tradit room restaur perfectli keep mediev atmospher beauti preserv villag san donato cuisin obvious tuscan style delight guest exquisit home-mad pasta expertli prepar young chef matteo certain time year special dish game make appear menu – wild boar stew miss among dessert make sure tri caramel panna cotta one best region small wine list includ label famou wineri
465	Apollonia	via Sant'Apollonia 3, località Sirmiano Sopra	Nals	39010	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Traditional Cuisine	Car park, Garden or park, Great view, Terrace	Mastercard, Visa	+39 0471 155 0562	https://www.apollonia.it/it	46.529537	11.186598	follow road twist turn uphil surround first vineyard fruit tree woodland climb altitud 900m reach restaur run geiser famili serv simpl yet delici region italian cuisin three gener focu season ingredi alto adig restaur ’ emblemat dish val passiria char termeno polenta sirmiano saffron beauti view take terlano middl valley majest dolomit includ sciliar catinaccio latemar distanc
466	Atelier Moessmer Norbert Niederkofler	via Walther Von der Vogelweide 17	Brunico	39031	ITA	Trentino-South Tyrol	€€€€	Creative, Alpine	Car park, Counter dining, Garden or park, Interesting wine list	Amex, Mastercard, Visa	+39 0474 646629	https://ateliernorbertniederkofler.com/moessmer/	46.7927709	11.949283	situat vast histor park near centr brunico restaur occupi villa part moessmer textil factori – illustr fact interest fabric book date earli 20c display larg central tabl dine room chef ’ “ cook mountain ” philosophi take centr stage focu top-qual produc sourc surround mountain season approach ensur flavour ingredi alway best dinner start delici appetis serv small loung perhap accompani aperitif enjoy delici prelud move dine room counter stool face kitchen wherev choos sit continu chef ’ singl tast menu – seri superb dish confirm chef ahrntal valley one master contemporari italian cuisin
467	Benso	piazza Cavour 7	Forlì	47121	ITA	Emilia-Romagna	€€	Modern Cuisine, Italian Contemporary	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 346 116 7238	https://www.bensofood.com/	44.224657	12.0400813	situat small garden histor centr modern bistro light airi feel thank larg window outdoor tabl perfect alfresco dine summer young kitchen staff supervis talent chef plenti experi behind serv contemporari cuisin individu flavour simpl aperitif-styl option avail 6 8pm
468	Carignano	via Carlo Alberto 35	Turin	10123	ITA	Piedmont	€€€€	Creative	Air conditioning, Interesting wine list	Amex, Mastercard, Visa	+39 011 517 0171	https://ristorantecarignano.it/	45.065155	7.6840119	david scabin one piedmont ’ famou chef also award two michelin start rivoli restaur continu reinvent appli much enthusiasm ever backdrop one prestigi hotel turin – histor grand hotel sitea – serv tast menu bold innov surpris guest order cours start intens flavour dish becom lighter meal progress scabin offer superb gastronom experi one long tast menu includ tradit piedmontes recip creativ dish well occasion exot influenc
469	Da Annetta	via Fè 25	Capolago	21100	ITA	Lombardy	€€	Traditional Cuisine, Modern Cuisine	Air conditioning, Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0332 490230	https://www.ristoranteannetta.it/	45.7937434	8.8075834	18th centuri build rustic yet eleg atmospher particular attent tabl cuisin tradit base also know add imagin variat
470	Da Vincenzo	viale Pasitea 172/178	Positano	84017	ITA	Campania	€€	Campanian, Traditional Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 089 875128	https://www.davincenzo.it/	40.6278082	14.485111	's never easi find right balanc qualiti quantiti especi town much tourist trail howev da vincenzo succeed year ever sinc first open famili ’ grandfath vincenzo 1958. today founder ’ grandson share grandfath ’ name helm creat dish focu mainli fish pleasant atmospher small tabl pavement street run centr positano choic cocktail supplement wine select lunchtim onward
471	Dalla Libera	via Farra 52	Sernaglia della Battaglia	31020	ITA	Veneto	€	Country cooking, Seasonal Cuisine	Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0438 966295	http://www.trattoriadallalibera.it	45.8771069	12.132017	restaur american-styl barbecu garden summer smart rustic dine room provid backdrop care prepar local cuisin personalis gourmet twist home-mad gnocchi serv three differ type tomato wine list featur top-qual label itali afield includ vintag delight wine-enthusiast
472	Agli Amici Dopolavoro	isola delle Rose	Venice	30133	ITA	Veneto	€€€€	Creative, Contemporary	Air conditioning, Garden or park, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 041 852 1300	https://www.dopolavororestaurant.com/it/	45.4054719	12.3201218	cross small garden-cum-ol grove get romant eleg restaur situat enchant isola dell rose privat island access boat overseen chef emanuel scarello resid chef young talent lorenzo lai serv two tast menu “ lagunamar ” featur top-qual fish “ giardino dell rose ” vegetarian menu base veget grown restaur ’ garden menu showcas rich select produc avail lagoon biodivers island summer even aperitif charm outdoor terrac highli recommend
473	Gourmetstube Einhorn	Campo di Trens	Mules	39040	ITA	Trentino-South Tyrol	€€€€	Creative, International	Car park, Garden or park, Interesting wine list	Mastercard, Visa	+39 0472 771136	https://www.stafler.com/it/hotel-gourmet-alto-adige.html	46.8511074	11.5204481	occupi 13c post hous restaur part eleg stafler hotel mean guestroom avail want drive home dinner intim gourmet restaur five tabl laid romant stube decor wood date back mediev time chef peter girtler offer guest one tast menu choos four five six cours featur array creativ dish full differ ingredi colour combin meat fish veget
474	L'Osteria di Santa Marina	campo Santa Marina, sestiere di Castello 5911	Venice	30122	ITA	Veneto	€€€	Country cooking, Modern Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 041 528 5239	https://osteriadisantamarina.com/	45.4383688	12.3390224	classi inn manag young profession serv seafood tradit dish also offer interest culinari innov
475	La Corte	via San Pancrazio 41	Palazzolo sull'Oglio	25036	ITA	Lombardy	€€	Classic Cuisine	Air conditioning, Car park, Interesting wine list, Wheelchair access	Mastercard, Visa	+39 030 740 2136	https://www.ilristorantelacorte.com/	45.6060502	9.8981073	mediterranean-styl dish take pride place attract restaur serv meat fish dish prioritis season ingredi visit well-stock wine cellar highli recommend
476	La Notizia 53	via Caravaggio 53/55	Naples	80126	ITA	Campania	€	Pizza	Air conditioning	Amex, Mastercard, Visa	+39 081 714 2155	http://www.pizzarialanotizia.com	40.8357424	14.2099366	although situat away tourist centr enzo coccia ’ pizzeria continu consid one best place pizza campania featur classic neapolitan pizza soft stringi dough menu offer tradit creativ top alik “ 'mpustarella ” five-grain wholem flour roll differ fill compens lack “ fritti ” menu first histor restaur number 53 join second address number 94/a nearbi
477	La Torre	strada Spicciano 7	Tavarnelle Val di Pesa	50028	ITA	Tuscany	€€€€	Creative, Contemporary	Air conditioning, Car park, Garden or park, Interesting wine list, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 055 806470	https://www.comohotels.com/it/tuscany/como-castello-del-nero/dining/la-torre	43.5529904	11.1878246	il castello del nero spectacular 12c resid home restaur stand magic locat includ mani attract make tuscani special place visit – breathtak view summer terrac eleg dine room full histori top-qual ingredi extra-virgin oliv oil wine attract wine cellar boast gener select latter howev main attract excel cuisin made friendli chef di pirro technic creativ time full flavour alway beauti present befit charm set properti home kitchen garden cultiv organ although yet certifi organ boast 10 varieti tomato alongsid number fruit tree restaur offer three menu “ evoluzion vegetali ” vegetarian option “ la terra ” meat dish take pride place “ il mare ” featur fish seafood special last least dessert menu strike extraordinarili imagin sweet well delicaci mini cake chocol macaroon serv coffe
478	Madonnina del Pescatore	via Lungomare Italia 11	Marzocca	60019	ITA	Marche	€€€€	Creative, Contemporary	Air conditioning, Great view, Interesting wine list	Amex, Mastercard, Visa	+39 071 698267	https://www.morenocedroni.it/	43.6806944	13.2821211	’ forti year sinc madonnina open 1984 yet chef moreno cedroni lost creativ touch result becom one influenti chef gener year year eat la madonnina remain novelti menu succe like reflect past tradit futur culinari trend especi fish seafood dish new dish ad regularli often research laboratori next restaur use specialis food technolog two tast menu avail “ ricordi d'infanzia mariella 1984-2024 ” featur chef cedroni ’ great classic dish “ luca e moreno ... il viaggio di marco polo ” includ dish asian middl eastern influenc chef ’ wife mariella overse excel servic front hous wonder coupl ’ commit cuisin also demonstr veget garden situat almost right beach provid veget infus salti sea air – brilliant idea repres strong connect land wine list featur popular select french sparkl wine
479	Osaka	corso Giuseppe Garibaldi 68	Milan	20121	ITA	Lombardy	€€€	Japanese, Traditional Cuisine	Air conditioning, Counter dining, Notable sake list, Restaurant offering vegetarian menus	Amex, Mastercard, Visa	+39 02 2906 0678	https://www.milanoosaka.com	45.4763226	9.1841301	tuck away short arcad old road milan como restaur simpl minimalist style bar diner watch skil chef slice prepar fish set menu domin lunchtim even à la cart option includ sukiyaki celebratori dish japan
480	Poldo e Gianna Osteria	vicolo Rosini 6/7	Rome	186	ITA	Lazio	€	Roman, Traditional Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 06 689 3499	http://www.poldoegianna.it	41.9022264	12.4772745	cheer attract contemporari restaur near parliament build serv tradit roman cuisin made interest season ingredi ’ pleasant outdoor space book well advanc plu unexpect wine cellar extrem well stock includ top-qual wine
481	Ponte Pietra	via Ponte Pietra 34	Verona	37121	ITA	Veneto	€€	Modern Cuisine, Contemporary	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 045 804 1929	https://ristorantepontepietra.com	45.44733	10.999518	old build next roman bridg pont pietra coupl romant small balconi overlook river charm dine room provid backdrop region cuisin creativ touch care select wine list attract apart also avail anyon wish extend stay
482	San Lorenzo	piazza Sordini 6	Spoleto	6049	ITA	Umbria	€€	Seafood, Traditional Cuisine	Air conditioning, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0743 223340	https://www.ristorantesanlorenzo.com/it/	42.7344912	12.7348655	situat within clitunno hotel well-manag family-run restaur serv classic season meat fish dish includ gener portion black truffl dish recent refurbish intim eleg dine room also occasion featur live music weekend outdoor terrac small squar offer pleasant alfresco dine guest advis park outsid ztl restrict traffic zone make way foot via short walk beauti histor centr
483	Anna Stuben	via Vidalong 3	Ortisei	39046	ITA	Trentino-South Tyrol	€€€€	Creative	Interesting wine list	Amex, Mastercard, Visa	+39 0471 796315	https://www.gardena.it/it/ristorante-anna-stuben.asp	46.5723078	11.6732881	although mani brilliant “ anna ’ ” cook family-run restaur year past ten year superb male chef – reimund brunner – helm romant ambienc two stube-styl dine room famou becom one place want visit everi time return val gardena cuisin inspir alto adig yet also remain open ingredi afield includ fish seafood dish lighter fresh style reduc use butter sugar servic excel highli attent guest ’ need talent sommeli alway hand offer recommend smile last least restaur hous within alpine-styl grödnerhof hotel spa offer classic eleg guestroom pay littl heed pass trend
484	Arva	calle Tiepolo, sestiere San Polo 1364	Venice	30124	ITA	Veneto	€€€€	Modern Cuisine	Air conditioning, Garden or park, Terrace	Amex, Mastercard, Visa	+39 041 270 7333	https://www.aman.com/hotels/aman-venice/dining/arva-aman-venice	45.4370679	12.3315175	dine surround decor stucco paint alfresco overlook grand canal highli luxuri restaur arva latin `` cultiv land '' pay homag sea land best season ingredi purchas rialto market island venetian lagoon chef matteo panfilio intern experi good restaur pay great attent local veget
485	QuarantunoDodici	via Monte Cadria 127	Fiumicino	54	ITA	Lazio	€€	Seafood, Mediterranean Cuisine	Car park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 06 658 1179	https://www.quarantunododici.it	41.747772	12.257375	situat bank river seasid osteria run chef lele usai michelin-star tino first floor build perfect set busi lunch enjoy dinner thank excel fish-bas cuisin firmli root tradit recip well à la cart “ diario di bordo ” list daili special showcas freshest fish offer
486	Boivin	via Garibaldi 9	Levico Terme	38056	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Seasonal Cuisine	Terrace	Amex, Mastercard, Visa	+39 0461 701670	https://www.boivin.it/	46.0113105	11.3003374	occupi old hous town centr restaur strongli influenc charact idea owner-chef riccardo bosco offer origin mix tradit trento cuisin influenc around world includ korean kimchi japanes cook method tataki prime exampl latter one restaur ’ signatur dish name trout celeriac puré daili special base ’ avail market also featur region wine fore wine list
487	Condividere	via Bologna 20/a	Turin	10152	ITA	Piedmont	€€€€	Italian Contemporary, Creative	Air conditioning, Counter dining, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 011 089 7651	https://www.condividere.com/	45.0802655	7.6911056	cast star-stud name restaur includ lavazza restaur situat nuvola complex ’ also coffe museum one famou innov chef time spaniard ferran adrià work consult well talent federico zanasi full-tim chef helm uniqu dine room famou wall clock choos three menu rang restaur ’ classic favourit chef ’ recent creation showcas vast array imagin dish often reinterpret classic italian recip
488	L'Acino	via San Domenico 2/a	Turin	10121	ITA	Piedmont	€€	Piedmontese, Traditional Cuisine	Air conditioning	Amex, Mastercard, Visa	+39 345 139 2770	https://lacinorestaurant.eatbu.com/	45.0743527	7.6817442	heart roman quadrilater characterist friendli restaur tradit piedmontes cuisin honor specialti includ stuf onion vitel tonnè agnolotti tajarin tripe stracotto among dessert bonet hazelnut cake zabajon miss tabl advis book
489	La Leggenda dei Frati	costa San Giorgio 6/a	Florence	50125	ITA	Tuscany	€€€€	Creative	Car park, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 055 068 0545	https://laleggendadeifrati.it/	43.764355	11.25606	uphil approach ’ arriv foot come villa bardini museum complex eleg welcom restaur provid set delici creativ modern cuisin chef filippo saporito never one rest laurel continu experi perfect cuisin focus mainli italian culinari tradit scrupul select top-qual ingredi prefer sustain suppli chain variou type meat bread pasta showcas differ menu includ vegetarian option summer enjoy meal romant terrac surround greeneri scent herb glimps santa croce church backdrop although centr florenc far away seem though ’ alreadi tuscan hill even occasion sound cicada background
490	La Palomba	via Cipriano Manente 16	Orvieto	5018	ITA	Umbria	€	Umbrian, Traditional Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0763 343395		42.718052	12.108641	boast attract ambienc typic italian trattoria la palomba run cinti famili sinc 1965 hand third gener menu featur umbrian special includ delici home-mad umbrichelli pasta serv variou sauc
491	Lanterna Verde	frazione San Barnaba 7	Villa di Chiavenna	23029	ITA	Lombardy	€€€	Country cooking, Modern Cuisine	Car park, Interesting wine list, Terrace	Mastercard, Visa	+39 0343 38588	https://www.lanternaverde.com/	46.3284	9.49741	thank fireplac welcom classic-styl dine room restaur perfect winter dine garden terrac attract guest summer whatev time year visit ’ enjoy cuisin balanc tradit recip contemporari option focu local ingredi especi fish lake tonola famili helm renown throughout provinc afield gourmet cuisin welcom hospit 40 year appeal even greater today thank young chef roberto provid skil modern touch kitchen experienc parent overse front hous make help wine recommend
492	Locanda del Falco	Castello di Rivalta 4	Rivalta Trebbia	29010	ITA	Emilia-Romagna	€€	Country cooking, Italian Contemporary	Car park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 0523 182 0269	https://www.locandadelfalco.com	44.9499571	9.5906482	hous mediev hamlet tradit restaur serv typic special piacenza well dish full creativ imagin accompani wine region wine list seem elsewher itali winter even brighten larg indoor fireplac 100 year old wisteria provid shade welcom inner courtyard summer
493	Magorabin	corso San Maurizio 61/d	Turin	10124	ITA	Piedmont	€€€	Contemporary, Creative	Air conditioning, Restaurant offering vegetarian menus, Wheelchair access	Amex, Mastercard, Visa	+39 392 289 6148	https://www.magorabin.com/	45.0684649	7.6960435	situat near mole build restaur modern minimalist-styl dine room soft light food take centr stage marcello trentini one skill versatil chef turin also afield tast menu dedic classic dish well vegetarian menu option choos cours à la cart style chef demonstr masterli almost magic skill care design complex cuisin inspir piedmontes intern includ asian recip flavour simpl name word often conceal real masterpiec ingredi sometim prepar mani differ way inspector recommend spaghetton butter anchovi eel serv caviar enhanc flavour perhap accompani fresh lightli ferment falanghina cacciag wine
494	Mater Terrae	largo Febo 2	Rome	186	ITA	Lazio	€€€€	Vegetarian, Contemporary	Air conditioning, Great view, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 06 6828 3762	https://www.biohotelraphael.com/	41.8998749	12.4721696	situat top floor raphaël hotel behind piazza navona restaur serv best vegetarian cuisin rome elabor dish boast numer ingredi everi singl cours delight surpris equal stun panoram terrac overlook citi ’ rooftop meal serv fine weather
495	Moma	via di San Basilio 42	Rome	187	ITA	Lazio	€€€	Creative	Air conditioning	Amex, Mastercard, Visa	+39 06 4201 1798	https://www.ristorantemoma.it/	41.90569	12.4909	situat via veneto piazza barberini moma modern multi-facet restaur serv inform dish lunchtim creativ tradit fare gourmet restaur first floor also includ small outdoor dine space allow guest make rome ’ mild climat balanc textur combin attent paid present top-qual ingredi key featur result region inspir cuisin also includ creativ dish risotto camomil smoke eel honey oregano focu region fine local produc also evid wine list lean toward label produc small artisan wineri young staff attent keen ensur even resound success
496	Osteria Boccolicchio	via Arco Boccolicchio 15	Manfredonia	71043	ITA	Apulia	€€	Apulian, Seafood	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0884 090317		41.627777	15.91779	gain experi variou restaur throughout europ tespi return home open delight small osteria histor centr stone ’ throw sea huge passion fish evid menu fish dish featur numer region influenc recip excel wine cellar includ good choic sparkl wine
497	Relais Blu	via Roncato 60	Massa Lubrense	80061	ITA	Campania	€€€	Mediterranean Cuisine	Air conditioning, Car park, Garden or park, Great view, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 081 878 9552	https://www.relaisblu.com/it/restaurant/fine-dining	40.58996	14.3303537	situat across water capri restaur boast one beauti view island dine room outdoor terrac unmistak legendari silhouett visibl distanc fumiko sakai helm kitchen ’ fool name – although born japan chef work region mani year creat authent campanian cuisin often use veget restaur ’ kitchen garden fish obvious take pride place menu meat also make appear especi region breed nero casertano suckl pig laticauda lamb
498	Ristorante Alpes & La FuGa	via Ronco 24	Sarentino	39058	ITA	Trentino-South Tyrol	€€€	Modern Cuisine, Innovative	Car park, Garden or park, Interesting wine list, Terrace, Wheelchair access	Mastercard, Visa	+39 0471 623048	https://www.bad-schoergau.com/it/food/	46.6243914	11.3623949	restaur choos three tabl eleg contemporary-styl purpl stube anoth three rustic histor romant stube wherev choos sit ’ enjoy creativ sophist dish particularli appeal anyon keen innov imagin cuisin helm chef mattia baroni unusu background move comput studi work renown restaur around world
499	Rosselli 77	via F.lli Rosselli 77	Cuorgnè	10082	ITA	Piedmont	€	Piedmontese, Traditional Cuisine	Air conditioning, Car park	Mastercard, Visa	+39 0124 651613		45.3993734	7.649048	seri room teem warmth atmospher provid backdrop simpl home restaur edg town chef announc dish tabl although menu vari pride place given piedmontes ingredi culinari tradit cream roast chestnut mushroom delici snail
500	SaQua by Il Frantoio	viale Vittorio Veneto 40	Montescudaio	56040	ITA	Tuscany	€€	Tuscan, Contemporary	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0586 650381	http://www.saqua.it	43.3249891	10.6276167	restaur previous known simpli “ il frantoio ” new out-of-town premis regret may leav town centr soon disappear thank wide rang modern tuscan dish prepar chef new larger kitchen attract outdoor space boast beauti sunset view summer
501	Tosca	località Querceto	Casole d'Elsa	53031	ITA	Tuscany	€€€€	Mediterranean Cuisine, Classic Cuisine	Air conditioning, Terrace	Amex, Mastercard, Visa	+39 0577 961501	https://www.belmond.com/it/hotels/europe/italy/tuscany/belmond-castello-di-casole/dining	43.3249529	11.0832378	restaur charm decor combin classic eleg typic tuscan featur stone arch wall well stylish sofa comfort armchair cuisin heavili influenc local tradit albeit fresh innov twist
502	Zero Milano	corso Magenta 87	Milan	20123	ITA	Lombardy	€€€	Japanese, Fusion	Air conditioning, Counter dining	Amex, Mastercard, Visa	+39 02 4547 4733	https://www.zero-milano.it/	45.4658869	9.166515	’ absolut zero compromis attent qualiti restaur cuisin made top-qual ingredi use technic expertis typic japanes cook chef hide assist two compatriot real sushi expert emphasis zero milano ’ ambit one best japanes restaur milan menu featur japanes special alongsid dish contemporari western flavour
503	All'Oro	via Giuseppe Pisanelli 25	Rome	196	ITA	Lazio	€€€€	Creative, Italian Contemporary	Air conditioning, Interesting wine list, Restaurant offering vegetarian menus, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 06 9799 6907	https://www.ristorantealloro.it/	41.9140073	12.4730035	situat within h ’ tailor suit smart “ tailor-mad ” hotel offer guest bespok servic restaur boast pleasantli sophist new york-styl dine room plu second room vagu english decor serv set creativ italian cuisin chef riccardo di giacinto ’ culinari philosophi sum three adject sincer delici tenaci extens care chosen wine select favour region piedmont tuscani enjoy alfresco dine welcom outdooral ’ aria.in summer
504	Berton	via Mike Bongiorno 13	Milan	20123	ITA	Lombardy	€€€€	Italian Contemporary, Creative	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 02 6707 5801	https://www.ristoranteberton.com/	45.4821805	9.1944159	situat heart porta nuova restaur one wall made entir glass allow plenti daylight permeat eleg contemporary-styl dine room perfectli tune charact new futurist district cuisin continu focu ingredi deliber simpl style without minimalist creativ modern dish prepar ingredi itali particular emphasi one region true excel wine list profession attent effici servic complet pictur
505	Bistrot	piazza San Rufo 25	Rieti	2100	ITA	Lazio	€€	Italian, Classic Cuisine	Terrace	Amex, Mastercard, Visa	+39 0746 498798		42.4021456	12.8620159	overlook delight quiet littl squar romant welcom restaur serv tradit local special often individu flavour menu includ fish dish although hous special maltagliati pasta serv ‘ bistrot ’ sauc
506	Buscone	Località Bosmenso Superiore 41	Varzi	27057	ITA	Lombardy	€	Country cooking, Traditional Cuisine	Car park, Terrace	Mastercard, Visa	+39 0383 52224	https://www.ristorantebuscone.it/	44.7909875	9.2208794	difficulti perhap may encount tri reach trattoria compens pleasant famili atmospher genuin home made cook
507	Campo del Drago	Località Castiglion del Bosco	Montalcino	53024	ITA	Tuscany	€€€€	Contemporary, Tuscan	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace, Wheelchair access	Amex, Mastercard, Visa	+39 0577 191 3001	https://www.rosewoodhotels.com/it/castiglion-del-bosco/dining/ristorante-campo-del-drago	43.08386	11.422479	certain amount patienc need get restaur access via dusti yet attract dirt track wend way typic tuscan landscap arriv ’ find enchant villag mediev origin tower old fresco church rosewood castiglion del bosco offer excel servic splendid guestroom one best restaur region chef matteo temperini serv interest creativ dish tuscani mani made use veget hotel ’ kitchen garden dish serv eleg contemporary-styl dine room panoram terrac wine list featur variou hous wine includ brunello di montalcino campo del drago give name restaur ’ worth note dish three tast menu also chosen individu à la cart style
508	Controcorrente	via XXV Luglio 23	Morciano di Romagna	47833	ITA	Emilia-Romagna	€€	Seafood, Modern Cuisine	Air conditioning, Terrace	Mastercard, Visa	+39 0541 988036	https://www.ristorantecontrocorrente.com	43.9124479	12.6467282	welcom restaur rustic style dine room young live atmospher beauti prepar dish emphasi fish – difficult impress
509	Da Guido	via Roma Sinistra 25	Jesolo	30016	ITA	Veneto	€€€	Seafood	Air conditioning, Car park, Garden or park, Interesting wine list, Terrace, Wheelchair access	Mastercard, Visa	+39 0421 350380	https://www.ristorantedaguido.com/	45.5432677	12.6507932	stori restaur began 1967 guido giovanna fasan still work front hous met germani move back itali open da guido earli 1990 white domin eleg contemporary-styl dine room cuisin featur delici seafood dish focu grill special summer ’ welcom bar garden boast romant atmospher togeth restaurant-own venic fasan famili also kitchen garden venetian island sant ’ erasmo focu sustain grow method
510	Esplanade	via Lario 3	Desenzano del Garda	25015	ITA	Lombardy	€€€€	Italian, Modern Cuisine	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 030 914 3361	https://www.ristorante-esplanade.com/	45.4658732	10.5498607	one itali ’ long-establish restaur esplanad proud holder michelin star sinc 1992 renown among food-lov name practic synonym desenzano del garda boast superb locat alongsid lake separ garden summer outdoor space delight equal famou top-qual cuisin menu one extens level itali equal balanc meat fish italian region dish prepar use mainli season ingredi – classic italian cuisin stray far tradit root yet delic modern touch ad chef massimo fezzardi dine room attent servic precis metronom overseen two superb charact name marzio lee vallio sommeli 2024 michelin guid itali sommeli award exuber flawless emanuel signorini true profession whose friendli manner contagi
511	Il Ristorante di Guido da Costigliole	località San Maurizio 39	Santo Stefano Belbo	12058	ITA	Piedmont	€€€€	Piedmontese, Modern Cuisine	Air conditioning, Car park, Garden or park, Great view, Interesting wine list, Restaurant offering vegetarian menus, Terrace	Amex, Mastercard, Visa	+39 0141 844455	https://www.guidodacostigliole.it/	44.7051429	8.2066746	situat panoram locat surround beauti roll hill restaur occupi old 17c monasteri convert one region ’ eleg exclus hotel name relai san maurizio andrea alciati monica magnini perpetu legendari stori start andrea 's parent guido lidia chef fabio sgrò cuneo demonstr profession skill full updat menu continu respect restaur ’ famili tradit includ freshwat fish sever off-the-menu dish vegan tast option also avail wine list impress cuisin boast superb select includ vertic option rare label
512	Krone	piazza Principale 4	Aldino	39040	ITA	Trentino-South Tyrol	€€	Regional Cuisine, Traditional Cuisine	Terrace	Mastercard, Visa	+39 0471 886825	https://www.gasthof-krone.it/it/ristorante-aldino.htm	46.3684718	11.3543035	past retain fascin appeal tradit restaur situat small mountain villag modern trend ignor favour authent dish south tyrol origin open inn restaur still offer simpl discreet room furnish tradit style well new modern sauna
513	La Sponda	via Colombo 30	Positano	84017	ITA	Campania	€€€€	Mediterranean Cuisine	Car park, Garden or park, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 089 875066	https://www.sirenuse.it/it/ristoranti-e-bar/	40.6284968	14.4880344	eleg restaur within le sirenus one prestigi glamor hotel amalfi coast attract outdoor terrac summer dine view positano ’ colour hous cling cliff face whether choos eat insid romant atmospher guarante thank hundr candl lit everi even helm neapolitan chef gennaro russo maintain restaur ’ high standard mediterranean dish often influenc campania inspir classic favourit flavour southern itali showcas delici dish lemon risotto caper
514	La Valle	via Umberto I 25, località Valle Sauglio	Trofarello	10028	ITA	Piedmont	€€€	Contemporary	Air conditioning, Interesting wine list, Terrace	Amex, Mastercard, Visa	+39 011 649 9238	https://www.ristorantelavalle.it/	44.9861358	7.7537482	well run restaur quiet area outsid villag owner chef serv modern cuisin occasion region influenc care attent given use season produc natur herb small select fish base dish
515	Osteria del 36	Strada Aurelio Saffi 26/a	Parma	43121	ITA	Emilia-Romagna	€	Emilian, Classic Cuisine	Air conditioning, Interesting wine list, Wheelchair access	Amex, Mastercard, Visa	+39 0521 287061	https://osteriadel36.it/	44.8023183	10.3347971	oldest osteria town centr restaur delight local visitor two simpl yet convivi dine room sinc 1880. cuisin region mani dish freshli prepar excel pasta delici ice cream special includ duck breast raspberri sauc parmesan chees flan
516	Osteria Manzoni	via Roma 87	Barzago	23890	ITA	Lombardy	€€	Contemporary	Air conditioning	Amex, Mastercard, Visa	+39 031 414 3305	http://www.osteriamanzoni.it	45.75679	9.31183	restaur hous within colour skil restor histor build expos stonework young friendli coupl helm menu featur delici refin tradit italian cuisin
517	Rovello 18	via Tivoli 2	Milan	20121	ITA	Lombardy	€€€	Italian, Classic Cuisine	Air conditioning, Interesting wine list	Amex, Mastercard, Visa	+39 02 7209 3709	https://www.rovello18.it/	45.4721221	9.1838776	live welcom bistro furnish smart wooden furnitur set cuisin focus care chosen ingredi present minimum fuss although menu featur special milan dish mediterranean style interest wine select includ glass
518	Stube Hermitage	via Castelletto Inferiore 69	Madonna di Campiglio	38086	ITA	Trentino-South Tyrol	€€€€	Creative, Regional Cuisine	Car park, Garden or park, Wheelchair access	Amex, Mastercard, Visa	+39 0465 441558	https://stubehermitage.it/	46.2131692	10.8244764	situat tranquil seclud locat restaur occupi early-19c stube-styl dine room biohotel hermitag decor profus wood home tabl set perfect romant even focu fine dine 2022-23 winter season young antonio lepor former sous-chef took rein kitchen feel free explor new idea fulli express person variou tast menu eleg key word ambienc cuisin excel select chees also worthi note
